Broadcast_ID,Tacticam_ID,SimilarityScore
id_1,79,0.7578
id_103,4,0.9717
id_118,4,0.9732
id_137,17,0.7899
id_138,19,0.9721
id_142,19,0.9549
id_148,4,0.9805
id_15,19,0.9671
id_16,19,0.9711
id_160,4,0.9831
id_166,19,0.9723
id_167,4,0.9837
id_17,19,0.9452
id_172,4,0.9637
id_173,4,0.9732
id_175,4,0.9863
id_18,4,0.9546
id_19,4,0.9719
id_2,79,0.9042
id_20,96,0.9246
id_21,4,0.9372
id_22,20,0.7035
id_23,19,0.9733
id_24,19,0.9806
id_25,4,0.968
id_27,4,0.9868
id_3,13,0.7066
id_31,19,0.976
id_33,19,0.9733
id_36,19,0.9726
id_41,19,0.9734
id_49,19,0.9767
id_52,4,0.9818
id_58,19,0.9672
id_71,19,0.9752
id_81,96,0.8681
id_92,4,0.9736
id_97,19,0.9613
